"id_releve","transect_habitat","releve_date","jour_julien","heure_debut","heure_fin","temperature","vent","couverture_nuageuse","mois","duree_obs","heure_debut_releve","heure_fin_releve"
"10448","Gazon",2021-06-07,18785,1899-12-31 11:20:00,1899-12-31 11:25:00,"21-25°C","1 Beaufort (1-5km/h)","Ciel dégagé",6,300,"11","11"
"10449","Jardin",2021-06-07,18785,1899-12-31 11:25:00,1899-12-31 11:30:00,"21-25°C","1 Beaufort (1-5km/h)","Ciel dégagé",6,300,"11","11"
"10451","Prairie",2021-06-07,18785,1899-12-31 12:50:00,1899-12-31 13:05:00,"21-25°C","1 Beaufort (1-5km/h)","nuages 76-100%",6,900,"12","13"
"10452","Lisière de bois",2021-06-07,18785,1899-12-31 13:10:00,1899-12-31 13:20:00,"21-25°C","1 Beaufort (1-5km/h)","nuages 0-25%",6,600,"13","13"
"10453","Lisière de bois",2021-06-07,18785,1899-12-31 13:20:00,1899-12-31 13:30:00,"21-25°C","1 Beaufort (1-5km/h)","nuages 0-25%",6,600,"13","13"
"10456","Prairie",2021-06-10,18788,1899-12-31 15:24:00,1899-12-31 15:33:00,"26-30°C","1 Beaufort (1-5km/h)","nuages 51-75%",6,540,"15","15"
"10457","Gazon",2021-06-10,18788,1899-12-31 14:51:00,1899-12-31 14:59:00,"26-30°C","0 Beaufort (0km/h)","nuages 26-50%",6,480,"14","14"
"10459","Square urbain",2021-06-10,18788,1899-12-31 10:35:00,1899-12-31 10:45:00,"26-30°C","2 Beaufort (6-11km/h)","Ciel dégagé",6,600,"10","10"
"10460","Square urbain",2021-06-10,18788,1899-12-31 11:10:00,1899-12-31 11:20:00,"26-30°C","2 Beaufort (6-11km/h)","Ciel dégagé",6,600,"11","11"
"10461","Square urbain",2021-06-10,18788,1899-12-31 11:32:00,1899-12-31 11:42:00,"26-30°C","2 Beaufort (6-11km/h)","Ciel dégagé",6,600,"11","11"
"10462","Square urbain",2021-06-10,18788,1899-12-31 13:15:00,1899-12-31 13:25:00,"26-30°C","2 Beaufort (6-11km/h)","Soleil voilé",6,600,"13","13"
"10463","Square urbain",2021-06-10,18788,1899-12-31 12:55:00,1899-12-31 13:05:00,"26-30°C","2 Beaufort (6-11km/h)","Soleil voilé",6,600,"12","13"
"10464","Square urbain",2021-06-10,18788,1899-12-31 13:30:00,1899-12-31 13:40:00,"26-30°C","2 Beaufort (6-11km/h)","Soleil voilé",6,600,"13","13"
"10465","Square urbain",2021-06-10,18788,1899-12-31 13:45:00,1899-12-31 13:55:00,"26-30°C","2 Beaufort (6-11km/h)","nuages 26-50%",6,600,"13","13"
"10472","Square urbain",2021-06-15,18793,1899-12-31 10:00:00,1899-12-31 10:10:00,"26-30°C","0 Beaufort (0km/h)","Ciel dégagé",6,600,"10","10"
"10473","Square urbain",2021-06-15,18793,1899-12-31 10:00:00,1899-12-31 10:10:00,"26-30°C","0 Beaufort (0km/h)","Ciel dégagé",6,600,"10","10"
"10474","Square urbain",2021-06-15,18793,1899-12-31 10:00:00,1899-12-31 10:10:00,"26-30°C","0 Beaufort (0km/h)","Ciel dégagé",6,600,"10","10"
"10475","Square urbain",2021-06-15,18793,1899-12-31 10:00:00,1899-12-31 10:10:00,"26-30°C","0 Beaufort (0km/h)","Ciel dégagé",6,600,"10","10"
"10478","Jardin",2021-06-16,18794,1899-12-31 13:30:00,1899-12-31 13:50:00,"31-35°C","0 Beaufort (0km/h)","Ciel dégagé",6,1200,"13","13"
"10479","Prairie",2021-06-16,18794,1899-12-31 15:00:00,1899-12-31 15:15:00,"31-35°C","0 Beaufort (0km/h)","Ciel dégagé",6,900,"15","15"
"10480","Lisière de bois",2021-06-16,18794,1899-12-31 15:15:00,1899-12-31 15:30:00,"31-35°C","0 Beaufort (0km/h)","Ciel dégagé",6,900,"15","15"
"10482","Square urbain",2021-06-15,18793,1899-12-31 10:34:00,1899-12-31 10:44:00,"26-30°C","0 Beaufort (0km/h)","Ciel dégagé",6,600,"10","10"
"10483","Square urbain",2021-06-08,18786,1899-12-31 11:45:00,1899-12-31 12:05:00,"26-30°C","1 Beaufort (1-5km/h)","Ciel dégagé",6,1200,"11","12"
"10494","Square urbain",2019-07-31,18108,1899-12-31 15:20:00,1899-12-31 15:35:00,"21-25°C","3 Beaufort (12-19km/h)","nuages 51-75%",7,900,"15","15"
"10496","Bords d’infrastructures",2019-07-29,18106,1899-12-31 11:10:00,1899-12-31 11:25:00,"21-25°C","1 Beaufort (1-5km/h)","Ciel dégagé",7,900,"11","11"
"10497","Prairie",2019-07-30,18107,1899-12-31 11:00:00,1899-12-31 11:20:00,"21-25°C","3 Beaufort (12-19km/h)","nuages 0-25%",7,1200,"11","11"
"10506","Lisière de bois",2020-07-30,18473,1899-12-31 11:10:00,1899-12-31 11:30:00,"26-30°C","2 Beaufort (6-11km/h)","Ciel dégagé",7,1200,"11","11"
"10508","Bords d’infrastructures",2020-06-29,18442,1899-12-31 14:15:00,1899-12-31 14:35:00,"16-20°C","3 Beaufort (12-19km/h)","Soleil voilé",6,1200,"14","14"
"10514","Bords d’infrastructures",2020-06-30,18443,1899-12-31 11:20:00,1899-12-31 11:40:00,"16-20°C","3 Beaufort (12-19km/h)","Soleil voilé",6,1200,"11","11"
"10515","Bords d’infrastructures",2020-07-30,18473,1899-12-31 12:20:00,1899-12-31 12:40:00,"26-30°C","2 Beaufort (6-11km/h)","Ciel dégagé",7,1200,"12","12"
"10518","Square urbain",2020-07-31,18474,1899-12-31 11:30:00,1899-12-31 11:50:00,"31-35°C","1 Beaufort (1-5km/h)","Ciel dégagé",7,1200,"11","11"
"10520","Square urbain",2020-07-03,18446,1899-12-31 10:50:00,1899-12-31 11:10:00,"16-20°C","3 Beaufort (12-19km/h)","Soleil voilé",7,1200,"10","11"
"10523","Square urbain",2020-07-27,18470,1899-12-31 11:30:00,1899-12-31 11:50:00,"21-25°C","5 Beaufort (29-38km/h)","Ciel dégagé",7,1200,"11","11"
"10525","Square urbain",2020-06-30,18443,1899-12-31 10:50:00,1899-12-31 11:10:00,"21-25°C","4 Beaufort (20-28km/h)","Soleil voilé",6,1200,"10","11"
"10526","Prairie",2020-06-30,18443,1899-12-31 11:10:00,1899-12-31 11:30:00,"16-20°C","3 Beaufort (12-19km/h)","nuages 0-25%",6,1200,"11","11"
"10527","Prairie",2020-07-27,18470,1899-12-31 11:10:00,1899-12-31 11:30:00,"21-25°C","5 Beaufort (29-38km/h)","Ciel dégagé",7,1200,"11","11"
"10528","Prairie",2020-07-27,18470,1899-12-31 11:10:00,1899-12-31 11:30:00,"21-25°C","5 Beaufort (29-38km/h)","Ciel dégagé",7,1200,"11","11"
"10546","Prairie",2021-06-01,18779,1899-12-31 11:40:00,1899-12-31 11:48:00,"21-25°C","3 Beaufort (12-19km/h)","Ciel dégagé",6,480,"11","11"
"10550","Friche",2021-06-28,18806,1899-12-31 15:55:00,1899-12-31 16:10:00,"21-25°C","2 Beaufort (6-11km/h)","nuages 0-25%",6,900,"15","16"
"10561","Prairie",2021-07-02,18810,1899-12-31 16:00:00,1899-12-31 16:15:00,"21-25°C","2 Beaufort (6-11km/h)","nuages 76-100%",7,900,"16","16"
"10564","Square urbain",2021-07-02,18810,1899-12-31 14:10:00,1899-12-31 14:30:00,"21-25°C","1 Beaufort (1-5km/h)","nuages 26-50%",7,1200,"14","14"
"10565","Prairie",2021-07-02,18810,1899-12-31 13:50:00,1899-12-31 14:10:00,"21-25°C","1 Beaufort (1-5km/h)","nuages 26-50%",7,1200,"13","14"
"10568","Friche",2021-06-07,18785,1899-12-31 14:05:00,1899-12-31 14:19:00,"16-20°C","4 Beaufort (20-28km/h)","Ciel dégagé",6,840,"14","14"
"10569","Friche",2021-07-02,18810,1899-12-31 12:00:00,1899-12-31 12:12:00,"16-20°C","3 Beaufort (12-19km/h)","Ciel dégagé",7,720,"12","12"
"10571","Square urbain",2021-06-07,18785,1899-12-31 14:49:00,1899-12-31 14:59:00,"16-20°C","2 Beaufort (6-11km/h)","Ciel dégagé",6,600,"14","14"
"10572","Square urbain",2021-07-02,18810,1899-12-31 11:45:00,1899-12-31 11:55:00,"16-20°C","2 Beaufort (6-11km/h)","Ciel dégagé",7,600,"11","11"
"10573","Prairie",2021-06-07,18785,1899-12-31 14:30:00,1899-12-31 14:44:00,"16-20°C","1 Beaufort (1-5km/h)","Ciel dégagé",6,840,"14","14"
"10574","Prairie",2021-07-02,18810,1899-12-31 11:34:00,1899-12-31 11:43:00,"16-20°C","2 Beaufort (6-11km/h)","Ciel dégagé",7,540,"11","11"
"10575","Prairie",2021-06-08,18786,1899-12-31 12:26:00,1899-12-31 12:33:00,"21-25°C","3 Beaufort (12-19km/h)","Ciel dégagé",6,420,"12","12"
"10576","Prairie",2021-07-02,18810,1899-12-31 13:24:00,1899-12-31 13:34:00,"16-20°C","4 Beaufort (20-28km/h)","Ciel dégagé",7,600,"13","13"
"10577","Prairie",2021-06-08,18786,1899-12-31 12:13:00,1899-12-31 12:23:00,"21-25°C","2 Beaufort (6-11km/h)","Ciel dégagé",6,600,"12","12"
"10578","Prairie",2021-07-02,18810,1899-12-31 13:11:00,1899-12-31 13:22:00,"16-20°C","2 Beaufort (6-11km/h)","Ciel dégagé",7,660,"13","13"
"10579","Prairie",2021-06-08,18786,1899-12-31 12:00:00,1899-12-31 12:08:00,"21-25°C","2 Beaufort (6-11km/h)","nuages 0-25%",6,480,"12","12"
"10580","Prairie",2021-06-08,18786,1899-12-31 12:00:00,1899-12-31 12:08:00,"21-25°C","2 Beaufort (6-11km/h)","nuages 0-25%",6,480,"12","12"
"10581","Prairie",2021-07-02,18810,1899-12-31 13:00:00,1899-12-31 13:11:00,"16-20°C","3 Beaufort (12-19km/h)","Ciel dégagé",7,660,"13","13"
"10583","Prairie",2021-07-02,18810,1899-12-31 12:25:00,1899-12-31 12:37:00,"16-20°C","3 Beaufort (12-19km/h)","Ciel dégagé",7,720,"12","12"
"10584","Prairie",2021-06-08,18786,1899-12-31 13:40:00,1899-12-31 13:50:00,"26-30°C","3 Beaufort (12-19km/h)","nuages 0-25%",6,600,"13","13"
"10585","Prairie",2021-07-05,18813,1899-12-31 11:52:00,1899-12-31 12:00:00,"21-25°C","4 Beaufort (20-28km/h)","nuages 51-75%",7,480,"11","12"
"10594","Square urbain",2021-07-08,18816,1899-12-31 12:20:00,1899-12-31 12:40:00,"21-25°C","2 Beaufort (6-11km/h)","nuages 0-25%",7,1200,"12","12"
"10596","Lisière de bois",2021-07-08,18816,1899-12-31 15:22:00,1899-12-31 15:32:00,"26-30°C","2 Beaufort (6-11km/h)","nuages 0-25%",7,600,"15","15"
"10597","Friche",2021-07-07,18815,1899-12-31 12:04:00,1899-12-31 12:14:00,"26-30°C","0 Beaufort (0km/h)","nuages 26-50%",7,600,"12","12"
"10598","Prairie",2021-06-03,18781,1899-12-31 11:06:00,1899-12-31 11:16:00,"16-20°C","0 Beaufort (0km/h)","nuages 76-100%",6,600,"11","11"
"10599","Prairie",2021-06-03,18781,1899-12-31 10:58:00,1899-12-31 11:05:00,"16-20°C","0 Beaufort (0km/h)","nuages 76-100%",6,420,"10","11"
"10600","Prairie",2021-07-08,18816,1899-12-31 11:17:00,1899-12-31 11:23:00,"16-20°C","0 Beaufort (0km/h)","nuages 76-100%",7,360,"11","11"
"10601","Prairie",2021-07-08,18816,1899-12-31 11:23:00,1899-12-31 11:28:00,"16-20°C","0 Beaufort (0km/h)","nuages 76-100%",7,300,"11","11"
"10602","Prairie",2021-06-07,18785,1899-12-31 11:06:00,1899-12-31 11:13:00,"16-20°C","2 Beaufort (6-11km/h)","nuages 0-25%",6,420,"11","11"
"10603","Prairie",2021-07-07,18815,1899-12-31 11:25:00,1899-12-31 11:35:00,"16-20°C","3 Beaufort (12-19km/h)","nuages 76-100%",7,600,"11","11"
"10604","Prairie",2021-06-07,18785,1899-12-31 11:19:00,1899-12-31 11:25:00,"16-20°C","2 Beaufort (6-11km/h)","Ciel dégagé",6,360,"11","11"
"10605","Prairie",2021-07-07,18815,1899-12-31 11:40:00,1899-12-31 11:48:00,"16-20°C","3 Beaufort (12-19km/h)","nuages 76-100%",7,480,"11","11"
"10606","Prairie",2021-06-07,18785,1899-12-31 11:31:00,1899-12-31 11:38:00,"16-20°C","2 Beaufort (6-11km/h)","Ciel dégagé",6,420,"11","11"
"10607","Prairie",2021-07-07,18815,1899-12-31 12:00:00,1899-12-31 12:05:00,"16-20°C","3 Beaufort (12-19km/h)","nuages 76-100%",7,300,"12","12"
"10608","Prairie",2021-06-01,18779,1899-12-31 16:20:00,1899-12-31 16:30:00,"21-25°C","4 Beaufort (20-28km/h)","Ciel dégagé",6,600,"16","16"
"10609","Prairie",2021-07-07,18815,1899-12-31 16:20:00,1899-12-31 16:30:00,"16-20°C","3 Beaufort (12-19km/h)","nuages 26-50%",7,600,"16","16"
"10614","Prairie",2021-06-10,18788,1899-12-31 15:24:00,1899-12-31 15:33:00,"26-30°C","1 Beaufort (1-5km/h)","nuages 51-75%",6,540,"15","15"
"10615","Prairie",2021-07-08,18816,1899-12-31 17:15:00,1899-12-31 17:25:00,"21-25°C","3 Beaufort (12-19km/h)","nuages 51-75%",7,600,"17","17"
"10617","Square urbain",2021-07-15,18823,1899-12-31 16:45:00,1899-12-31 17:00:00,"16-20°C","3 Beaufort (12-19km/h)","Ciel dégagé",7,900,"16","17"
"10618","Prairie",2021-07-15,18823,1899-12-31 16:20:00,1899-12-31 16:40:00,"16-20°C","3 Beaufort (12-19km/h)","Ciel dégagé",7,1200,"16","16"
"10619","Jardin",2021-07-16,18824,1899-12-31 11:30:00,1899-12-31 11:40:00,"16-20°C","3 Beaufort (12-19km/h)","nuages 76-100%",7,600,"11","11"
"10623","Gazon",2021-07-08,18816,1899-12-31 10:56:00,1899-12-31 11:04:00,"21-25°C","2 Beaufort (6-11km/h)","nuages 26-50%",7,480,"10","11"
"10646","Prairie",2021-07-20,18828,1899-12-31 14:20:00,1899-12-31 14:30:00,"26-30°C","2 Beaufort (6-11km/h)","Ciel dégagé",7,600,"14","14"
"10647","Jardin",2021-07-20,18828,1899-12-31 14:40:00,1899-12-31 14:50:00,"26-30°C","2 Beaufort (6-11km/h)","Ciel dégagé",7,600,"14","14"
"10650","Prairie",2020-07-27,18470,1899-12-31 09:30:00,1899-12-31 09:40:00,"16-20°C","1 Beaufort (1-5km/h)","Ciel dégagé",7,600,"09","09"
"10651","Prairie",2020-07-01,18444,1899-12-31 13:30:00,1899-12-31 13:40:00,"21-25°C","2 Beaufort (6-11km/h)","Soleil voilé",7,600,"13","13"
"10652","Friche",2020-08-05,18479,1899-12-31 11:10:00,1899-12-31 11:20:00,"21-25°C","0 Beaufort (0km/h)","Ciel dégagé",8,600,"11","11"
"10653","Friche",2020-07-20,18463,1899-12-31 11:07:00,1899-12-31 11:17:00,"21-25°C","0 Beaufort (0km/h)","nuages 0-25%",7,600,"11","11"
"10654","Friche",2020-06-11,18424,1899-12-31 15:00:00,1899-12-31 15:10:00,"21-25°C","0 Beaufort (0km/h)","nuages 0-25%",6,600,"15","15"
"10655","Friche",2020-08-05,18479,1899-12-31 11:20:00,1899-12-31 11:30:00,"21-25°C","0 Beaufort (0km/h)","nuages 0-25%",8,600,"11","11"
"10656","Friche",2020-07-20,18463,1899-12-31 11:20:00,1899-12-31 11:30:00,"21-25°C","0 Beaufort (0km/h)","nuages 0-25%",7,600,"11","11"
"10657","Friche",2020-06-11,18424,1899-12-31 14:30:00,1899-12-31 14:40:00,"21-25°C","0 Beaufort (0km/h)","nuages 0-25%",6,600,"14","14"
"10658","Friche",2020-08-05,18479,1899-12-31 12:08:00,1899-12-31 12:18:00,"21-25°C","0 Beaufort (0km/h)","Ciel dégagé",8,600,"12","12"
"10659","Friche",2020-07-20,18463,1899-12-31 11:50:00,1899-12-31 12:00:00,"21-25°C","0 Beaufort (0km/h)","nuages 0-25%",7,600,"11","12"
"10660","Friche",2020-07-20,18463,1899-12-31 11:50:00,1899-12-31 12:00:00,"21-25°C","0 Beaufort (0km/h)","nuages 0-25%",7,600,"11","12"
"10661","Friche",2020-06-11,18424,1899-12-31 13:50:00,1899-12-31 14:00:00,"21-25°C","0 Beaufort (0km/h)","nuages 0-25%",6,600,"13","14"
"10662","Prairie",2020-08-05,18479,1899-12-31 12:25:00,1899-12-31 12:35:00,"21-25°C","0 Beaufort (0km/h)","Ciel dégagé",8,600,"12","12"
"10663","Prairie",2020-07-20,18463,1899-12-31 12:08:00,1899-12-31 12:18:00,"21-25°C","0 Beaufort (0km/h)","nuages 0-25%",7,600,"12","12"
"10664","Prairie",2020-06-11,18424,1899-12-31 13:30:00,1899-12-31 13:40:00,"21-25°C","0 Beaufort (0km/h)","nuages 0-25%",6,600,"13","13"
"10666","Square urbain",2020-08-11,18485,1899-12-31 11:05:00,1899-12-31 11:17:00,"26-30°C","1 Beaufort (1-5km/h)","Ciel dégagé",8,720,"11","11"
"10667","Square urbain",2020-07-08,18451,1899-12-31 12:40:00,1899-12-31 12:52:00,"26-30°C","3 Beaufort (12-19km/h)","Ciel dégagé",7,720,"12","12"
"10668","Prairie",2020-08-11,18485,1899-12-31 10:00:00,1899-12-31 10:12:00,"26-30°C","1 Beaufort (1-5km/h)","Ciel dégagé",8,720,"10","10"
"10669","Prairie",2020-07-08,18451,1899-12-31 12:55:00,1899-12-31 13:07:00,"26-30°C","3 Beaufort (12-19km/h)","Ciel dégagé",7,720,"12","13"
"10670","Prairie",2020-06-02,18415,1899-12-31 11:45:00,1899-12-31 11:57:00,"21-25°C","2 Beaufort (6-11km/h)","Ciel dégagé",6,720,"11","11"
"10671","Prairie",2020-08-11,18485,1899-12-31 10:20:00,1899-12-31 10:32:00,"26-30°C","1 Beaufort (1-5km/h)","Ciel dégagé",8,720,"10","10"
"10672","Prairie",2020-07-08,18451,1899-12-31 13:20:00,1899-12-31 13:32:00,"26-30°C","3 Beaufort (12-19km/h)","Ciel dégagé",7,720,"13","13"
"10673","Prairie",2020-06-02,18415,1899-12-31 12:15:00,1899-12-31 12:27:00,"26-30°C","3 Beaufort (12-19km/h)","Ciel dégagé",6,720,"12","12"
"10674","Square urbain",2020-08-10,18484,1899-12-31 11:05:00,1899-12-31 11:17:00,"26-30°C","0 Beaufort (0km/h)","nuages 26-50%",8,720,"11","11"
"10675","Square urbain",2020-07-08,18451,1899-12-31 12:00:00,1899-12-31 12:12:00,"21-25°C","1 Beaufort (1-5km/h)","nuages 0-25%",7,720,"12","12"
"10676","Square urbain",2020-06-16,18429,1899-12-31 12:00:00,1899-12-31 12:12:00,"16-20°C","0 Beaufort (0km/h)","nuages 26-50%",6,720,"12","12"
"10677","Square urbain",2020-08-10,18484,1899-12-31 10:35:00,1899-12-31 10:47:00,"26-30°C","0 Beaufort (0km/h)","Soleil voilé",8,720,"10","10"
"10678","Square urbain",2020-07-08,18451,1899-12-31 10:30:00,1899-12-31 10:42:00,"16-20°C","1 Beaufort (1-5km/h)","nuages 0-25%",7,720,"10","10"
"10679","Square urbain",2020-06-16,18429,1899-12-31 10:30:00,1899-12-31 10:42:00,"16-20°C","0 Beaufort (0km/h)","nuages 26-50%",6,720,"10","10"
"10680","Friche",2020-08-10,18484,1899-12-31 10:15:00,1899-12-31 10:27:00,"26-30°C","0 Beaufort (0km/h)","Soleil voilé",8,720,"10","10"
"10681","Friche",2020-07-08,18451,1899-12-31 10:00:00,1899-12-31 10:12:00,"16-20°C","1 Beaufort (1-5km/h)","nuages 0-25%",7,720,"10","10"
"10682","Friche",2020-06-16,18429,1899-12-31 10:00:00,1899-12-31 10:12:00,"16-20°C","0 Beaufort (0km/h)","nuages 26-50%",6,720,"10","10"
"10684","Prairie",2020-08-03,18477,1899-12-31 11:00:00,1899-12-31 11:15:00,"16-20°C","1 Beaufort (1-5km/h)","nuages 26-50%",8,900,"11","11"
"10685","Prairie",2020-08-04,18478,1899-12-31 17:05:00,1899-12-31 17:15:00,"21-25°C","1 Beaufort (1-5km/h)","Ciel dégagé",8,600,"17","17"
"10686","Prairie",2020-08-04,18478,1899-12-31 16:50:00,1899-12-31 17:05:00,"21-25°C","1 Beaufort (1-5km/h)","Ciel dégagé",8,900,"16","17"
"10687","Friche",2020-08-04,18478,1899-12-31 16:30:00,1899-12-31 16:42:00,"21-25°C","1 Beaufort (1-5km/h)","Ciel dégagé",8,720,"16","16"
"10688","Prairie",2020-08-04,18478,1899-12-31 16:15:00,1899-12-31 16:25:00,"21-25°C","1 Beaufort (1-5km/h)","Ciel dégagé",8,600,"16","16"
"10689","Prairie",2020-08-04,18478,1899-12-31 15:55:00,1899-12-31 16:05:00,"21-25°C","1 Beaufort (1-5km/h)","Ciel dégagé",8,600,"15","16"
"10690","Prairie",2020-08-04,18478,1899-12-31 15:30:00,1899-12-31 15:45:00,"21-25°C","1 Beaufort (1-5km/h)","Ciel dégagé",8,900,"15","15"
"10691","Prairie",2020-06-29,18442,1899-12-31 13:45:00,1899-12-31 13:55:00,"16-20°C","3 Beaufort (12-19km/h)","nuages 51-75%",6,600,"13","13"
"10692","Prairie",2020-06-29,18442,1899-12-31 13:30:00,1899-12-31 13:40:00,"16-20°C","3 Beaufort (12-19km/h)","nuages 51-75%",6,600,"13","13"
"10693","Friche",2020-06-29,18442,1899-12-31 13:16:00,1899-12-31 13:24:00,"16-20°C","3 Beaufort (12-19km/h)","nuages 51-75%",6,480,"13","13"
"10694","Prairie",2020-06-29,18442,1899-12-31 13:01:00,1899-12-31 13:11:00,"16-20°C","3 Beaufort (12-19km/h)","nuages 51-75%",6,600,"13","13"
"10695","Prairie",2020-06-29,18442,1899-12-31 12:47:00,1899-12-31 12:57:00,"16-20°C","3 Beaufort (12-19km/h)","nuages 51-75%",6,600,"12","12"
"10696","Prairie",2020-06-29,18442,1899-12-31 12:30:00,1899-12-31 12:40:00,"16-20°C","3 Beaufort (12-19km/h)","nuages 51-75%",6,600,"12","12"
"10697","Prairie",2020-05-29,18411,1899-12-31 13:03:00,1899-12-31 13:10:00,"21-25°C","4 Beaufort (20-28km/h)","nuages 0-25%",5,420,"13","13"
"10698","Prairie",2020-05-29,18411,1899-12-31 12:49:00,1899-12-31 13:01:00,"21-25°C","4 Beaufort (20-28km/h)","nuages 0-25%",5,720,"12","13"
"10699","Friche",2020-05-29,18411,1899-12-31 12:35:00,1899-12-31 12:41:00,"21-25°C","4 Beaufort (20-28km/h)","nuages 0-25%",5,360,"12","12"
"10700","Prairie",2020-05-29,18411,1899-12-31 12:20:00,1899-12-31 12:31:00,"21-25°C","4 Beaufort (20-28km/h)","nuages 0-25%",5,660,"12","12"
"10701","Prairie",2020-05-29,18411,1899-12-31 12:08:00,1899-12-31 12:16:00,"21-25°C","4 Beaufort (20-28km/h)","nuages 0-25%",5,480,"12","12"
"10702","Prairie",2020-05-29,18411,1899-12-31 11:50:00,1899-12-31 12:00:00,"21-25°C","4 Beaufort (20-28km/h)","nuages 0-25%",5,600,"11","12"
"10703","Square urbain",2020-08-14,18488,1899-12-31 13:44:00,1899-12-31 13:55:00,"21-25°C","3 Beaufort (12-19km/h)","nuages 51-75%",8,660,"13","13"
"10704","Gazon",2020-08-14,18488,1899-12-31 14:56:00,1899-12-31 15:09:00,"21-25°C","3 Beaufort (12-19km/h)","nuages 26-50%",8,780,"14","15"
"10705","Gazon",2020-08-14,18488,1899-12-31 14:37:00,1899-12-31 14:48:00,"21-25°C","3 Beaufort (12-19km/h)","nuages 26-50%",8,660,"14","14"
"10706","Gazon",2020-07-06,18449,1899-12-31 15:12:00,1899-12-31 15:23:00,"16-20°C","4 Beaufort (20-28km/h)","nuages 0-25%",7,660,"15","15"
"10707","Gazon",2020-07-06,18449,1899-12-31 15:46:00,1899-12-31 15:57:00,"16-20°C","4 Beaufort (20-28km/h)","nuages 26-50%",7,660,"15","15"
"10708","Square urbain",2020-07-06,18449,1899-12-31 14:01:00,1899-12-31 14:12:00,"16-20°C","4 Beaufort (20-28km/h)","nuages 26-50%",7,660,"14","14"
"10709","Square urbain",2020-05-28,18410,1899-12-31 14:13:00,1899-12-31 14:24:00,"26-30°C","4 Beaufort (20-28km/h)","Ciel dégagé",5,660,"14","14"
"10710","Gazon",2020-05-28,18410,1899-12-31 16:08:00,1899-12-31 16:18:00,"26-30°C","4 Beaufort (20-28km/h)","Ciel dégagé",5,600,"16","16"
"10711","Gazon",2020-05-28,18410,1899-12-31 15:27:00,1899-12-31 15:38:00,"26-30°C","4 Beaufort (20-28km/h)","Ciel dégagé",5,660,"15","15"
"10712","Prairie",2020-08-05,18479,1899-12-31 13:34:00,1899-12-31 13:44:00,"21-25°C","2 Beaufort (6-11km/h)","Soleil voilé",8,600,"13","13"
"10713","Prairie",2020-08-05,18479,1899-12-31 12:01:00,1899-12-31 12:14:00,"21-25°C","3 Beaufort (12-19km/h)","Ciel dégagé",8,780,"12","12"
"10714","Prairie",2020-08-05,18479,1899-12-31 12:43:00,1899-12-31 12:53:00,"21-25°C","2 Beaufort (6-11km/h)","Ciel dégagé",8,600,"12","12"
"10715","Prairie",2020-08-05,18479,1899-12-31 13:00:00,1899-12-31 13:12:00,"26-30°C","1 Beaufort (1-5km/h)","Ciel dégagé",8,720,"13","13"
